input,target
rotation 068-062-420 ,rotation: [ 068-062-420 ] 
rotation 2-4-9 to 95-40-70 ,rotation: [ 2-4-9 ] -- [95-40-70 ] 
rotation 8-28-03 ,rotation: [ 8-28-03 ] 
rotation 9-1-639 to 4-33-694 ,rotation: [ 9-1-639 ] -- [4-33-694 ] 
rotation 09-3-29 ,rotation: [ 09-3-29 ] 
rotation 03-635-011 ,rotation: [ 03-635-011 ] 
rotation 51-781-5 ,rotation: [ 51-781-5 ] 
rotation 21-7-73 to 16-2-559 ,rotation: [ 21-7-73 ] -- [16-2-559 ] 
rotation 12-9-07 ,rotation: [ 12-9-07 ] 
rotation 09-8-583 to 7-393-77 ,rotation: [ 09-8-583 ] -- [7-393-77 ] 
rotation 85-2-71 to 59-3-9 ,rotation: [ 85-2-71 ] -- [59-3-9 ] 
rotation 0-57-063 ,rotation: [ 0-57-063 ] 
rotation 26-100-021 ,rotation: [ 26-100-021 ] 
rotation 007-4-3 to 699-6-09 ,rotation: [ 007-4-3 ] -- [699-6-09 ] 
rotation 67-27-99 to 0-2-939 ,rotation: [ 67-27-99 ] -- [0-2-939 ] 
rotation 7-03-86 ,rotation: [ 7-03-86 ] 
rotation 91-237-737 to 3-1-6 ,rotation: [ 91-237-737 ] -- [3-1-6 ] 
rotation 38-950-269 to 8-236-656 ,rotation: [ 38-950-269 ] -- [8-236-656 ] 
rotation 3-6-99 ,rotation: [ 3-6-99 ] 
rotation 8-018-10 to 22-8-89 ,rotation: [ 8-018-10 ] -- [22-8-89 ] 
rotation 7-086-00 to 4-351-8 ,rotation: [ 7-086-00 ] -- [4-351-8 ] 
rotation 211-27-171 to 339-9-3 ,rotation: [ 211-27-171 ] -- [339-9-3 ] 
rotation 468-9-22 to 2-7-85 ,rotation: [ 468-9-22 ] -- [2-7-85 ] 
rotation 935-8-838 to 7-60-763 ,rotation: [ 935-8-838 ] -- [7-60-763 ] 
rotation 9-1-1 ,rotation: [ 9-1-1 ] 
rotation 88-6-94 ,rotation: [ 88-6-94 ] 
rotation 22-51-63 to 13-878-826 ,rotation: [ 22-51-63 ] -- [13-878-826 ] 
rotation 0-265-023 to 279-52-8 ,rotation: [ 0-265-023 ] -- [279-52-8 ] 
rotation 5-193-57 ,rotation: [ 5-193-57 ] 
rotation 791-279-07 ,rotation: [ 791-279-07 ] 
rotation 6-59-0 to 7-4-9 ,rotation: [ 6-59-0 ] -- [7-4-9 ] 
rotation 14-8-46 ,rotation: [ 14-8-46 ] 
rotation 915-609-5 ,rotation: [ 915-609-5 ] 
rotation 09-738-35 ,rotation: [ 09-738-35 ] 
rotation 54-26-77 to 18-5-608 ,rotation: [ 54-26-77 ] -- [18-5-608 ] 
rotation 662-5-8 ,rotation: [ 662-5-8 ] 
rotation 921-96-0 ,rotation: [ 921-96-0 ] 
rotation 32-2-1 to 78-819-9 ,rotation: [ 32-2-1 ] -- [78-819-9 ] 
rotation 430-445-7 ,rotation: [ 430-445-7 ] 
rotation 607-866-0 to 55-8-60 ,rotation: [ 607-866-0 ] -- [55-8-60 ] 
rotation 481-92-19 to 1-4-5 ,rotation: [ 481-92-19 ] -- [1-4-5 ] 
rotation 738-7-978 ,rotation: [ 738-7-978 ] 
rotation 43-5-647 to 7-64-2 ,rotation: [ 43-5-647 ] -- [7-64-2 ] 
rotation 8-5-407 to 136-599-258 ,rotation: [ 8-5-407 ] -- [136-599-258 ] 
rotation 392-43-854 ,rotation: [ 392-43-854 ] 
rotation 0-6-291 to 5-452-43 ,rotation: [ 0-6-291 ] -- [5-452-43 ] 
rotation 570-8-702 ,rotation: [ 570-8-702 ] 
rotation 484-4-5 ,rotation: [ 484-4-5 ] 
rotation 79-9-242 to 6-8-373 ,rotation: [ 79-9-242 ] -- [6-8-373 ] 
rotation 36-08-302 ,rotation: [ 36-08-302 ] 
rotation 636-2-679 ,rotation: [ 636-2-679 ] 
rotation 061-86-9 ,rotation: [ 061-86-9 ] 
rotation 7-0-3 ,rotation: [ 7-0-3 ] 
rotation 3-366-028 to 59-921-63 ,rotation: [ 3-366-028 ] -- [59-921-63 ] 
rotation 17-801-4 to 263-63-3 ,rotation: [ 17-801-4 ] -- [263-63-3 ] 
rotation 234-720-383 ,rotation: [ 234-720-383 ] 
rotation 096-50-0 to 40-42-856 ,rotation: [ 096-50-0 ] -- [40-42-856 ] 
rotation 496-7-32 to 3-2-3 ,rotation: [ 496-7-32 ] -- [3-2-3 ] 
rotation 6-198-072 to 202-423-17 ,rotation: [ 6-198-072 ] -- [202-423-17 ] 
rotation 51-23-017 to 87-74-1 ,rotation: [ 51-23-017 ] -- [87-74-1 ] 
rotation 906-71-00 to 9-5-3 ,rotation: [ 906-71-00 ] -- [9-5-3 ] 
rotation 33-50-0 to 35-5-24 ,rotation: [ 33-50-0 ] -- [35-5-24 ] 
rotation 9-55-626 to 600-71-0 ,rotation: [ 9-55-626 ] -- [600-71-0 ] 
rotation 2-255-717 ,rotation: [ 2-255-717 ] 
rotation 1-32-79 ,rotation: [ 1-32-79 ] 
rotation 7-06-7 to 5-4-30 ,rotation: [ 7-06-7 ] -- [5-4-30 ] 
rotation 3-78-0 to 8-772-960 ,rotation: [ 3-78-0 ] -- [8-772-960 ] 
rotation 8-74-363 ,rotation: [ 8-74-363 ] 
rotation 4-07-1 to 457-03-9 ,rotation: [ 4-07-1 ] -- [457-03-9 ] 
rotation 695-61-5 ,rotation: [ 695-61-5 ] 
rotation 804-574-5 ,rotation: [ 804-574-5 ] 
rotation 275-53-030 ,rotation: [ 275-53-030 ] 
rotation 9-06-11 ,rotation: [ 9-06-11 ] 
rotation 3-4-102 to 86-420-728 ,rotation: [ 3-4-102 ] -- [86-420-728 ] 
rotation 875-1-75 ,rotation: [ 875-1-75 ] 
rotation 454-693-227 ,rotation: [ 454-693-227 ] 
rotation 339-7-18 to 3-09-894 ,rotation: [ 339-7-18 ] -- [3-09-894 ] 
rotation 898-5-087 to 5-847-14 ,rotation: [ 898-5-087 ] -- [5-847-14 ] 
rotation 1-40-5 to 53-410-15 ,rotation: [ 1-40-5 ] -- [53-410-15 ] 
rotation 744-74-729 ,rotation: [ 744-74-729 ] 
rotation 8-7-90 ,rotation: [ 8-7-90 ] 
rotation 4-088-930 to 001-920-4 ,rotation: [ 4-088-930 ] -- [001-920-4 ] 
rotation 117-6-597 to 4-658-36 ,rotation: [ 117-6-597 ] -- [4-658-36 ] 
rotation 161-324-31 to 15-5-99 ,rotation: [ 161-324-31 ] -- [15-5-99 ] 
rotation 449-0-90 ,rotation: [ 449-0-90 ] 
rotation 50-3-83 to 7-09-2 ,rotation: [ 50-3-83 ] -- [7-09-2 ] 
rotation 203-92-70 ,rotation: [ 203-92-70 ] 
rotation 0-496-41 ,rotation: [ 0-496-41 ] 
rotation 96-9-152 to 576-9-294 ,rotation: [ 96-9-152 ] -- [576-9-294 ] 
rotation 1-761-030 to 19-364-4 ,rotation: [ 1-761-030 ] -- [19-364-4 ] 
rotation 8-0-355 ,rotation: [ 8-0-355 ] 
rotation 515-20-0 ,rotation: [ 515-20-0 ] 
rotation 6-99-49 to 982-86-1 ,rotation: [ 6-99-49 ] -- [982-86-1 ] 
rotation 88-3-99 ,rotation: [ 88-3-99 ] 
rotation 106-037-61 ,rotation: [ 106-037-61 ] 
rotation 1-7-49 ,rotation: [ 1-7-49 ] 
rotation 952-1-137 ,rotation: [ 952-1-137 ] 
rotation 8-869-981 ,rotation: [ 8-869-981 ] 
rotation 3-59-4 to 8-0-8 ,rotation: [ 3-59-4 ] -- [8-0-8 ] 
rotation 7-0-42 ,rotation: [ 7-0-42 ] 
rotation 272-9-865 to 814-456-169 ,rotation: [ 272-9-865 ] -- [814-456-169 ] 
rotation 6-6-3 to 94-29-1 ,rotation: [ 6-6-3 ] -- [94-29-1 ] 
rotation 24-2-76 to 7-655-018 ,rotation: [ 24-2-76 ] -- [7-655-018 ] 
rotation 8-9-4 to 5-4-5 ,rotation: [ 8-9-4 ] -- [5-4-5 ] 
rotation 90-2-892 ,rotation: [ 90-2-892 ] 
rotation 671-534-9 ,rotation: [ 671-534-9 ] 
rotation 1-2-81 to 95-9-805 ,rotation: [ 1-2-81 ] -- [95-9-805 ] 
rotation 1-7-6 ,rotation: [ 1-7-6 ] 
rotation 606-92-7 ,rotation: [ 606-92-7 ] 
rotation 66-50-244 to 854-900-67 ,rotation: [ 66-50-244 ] -- [854-900-67 ] 
rotation 834-68-638 ,rotation: [ 834-68-638 ] 
rotation 788-23-98 to 8-7-97 ,rotation: [ 788-23-98 ] -- [8-7-97 ] 
rotation 66-643-86 ,rotation: [ 66-643-86 ] 
rotation 8-432-405 to 111-529-143 ,rotation: [ 8-432-405 ] -- [111-529-143 ] 
rotation 43-251-072 to 1-39-233 ,rotation: [ 43-251-072 ] -- [1-39-233 ] 
rotation 620-3-9 to 2-1-7 ,rotation: [ 620-3-9 ] -- [2-1-7 ] 
rotation 1-0-89 ,rotation: [ 1-0-89 ] 
rotation 04-129-9 ,rotation: [ 04-129-9 ] 
rotation 56-283-68 to 8-006-32 ,rotation: [ 56-283-68 ] -- [8-006-32 ] 
rotation 4-74-718 to 2-18-71 ,rotation: [ 4-74-718 ] -- [2-18-71 ] 
rotation 5-8-7 ,rotation: [ 5-8-7 ] 
rotation 5-386-04 ,rotation: [ 5-386-04 ] 
rotation 856-942-8 ,rotation: [ 856-942-8 ] 
rotation 43-5-3 ,rotation: [ 43-5-3 ] 
rotation 13-1-7 ,rotation: [ 13-1-7 ] 
rotation 533-581-50 ,rotation: [ 533-581-50 ] 
rotation 771-4-8 to 2-542-48 ,rotation: [ 771-4-8 ] -- [2-542-48 ] 
rotation 76-84-2 ,rotation: [ 76-84-2 ] 
rotation 37-135-108 ,rotation: [ 37-135-108 ] 
rotation 178-2-689 ,rotation: [ 178-2-689 ] 
rotation 69-743-28 to 77-87-058 ,rotation: [ 69-743-28 ] -- [77-87-058 ] 
rotation 076-06-6 to 3-064-6 ,rotation: [ 076-06-6 ] -- [3-064-6 ] 
rotation 2-3-383 to 7-122-4 ,rotation: [ 2-3-383 ] -- [7-122-4 ] 
rotation 05-14-1 to 6-0-1 ,rotation: [ 05-14-1 ] -- [6-0-1 ] 
rotation 091-6-95 ,rotation: [ 091-6-95 ] 
rotation 65-3-967 ,rotation: [ 65-3-967 ] 
rotation 435-35-593 ,rotation: [ 435-35-593 ] 
rotation 6-127-5 to 817-5-3 ,rotation: [ 6-127-5 ] -- [817-5-3 ] 
rotation 375-0-932 to 5-944-6 ,rotation: [ 375-0-932 ] -- [5-944-6 ] 
rotation 27-694-38 to 8-457-9 ,rotation: [ 27-694-38 ] -- [8-457-9 ] 
rotation 1-5-88 ,rotation: [ 1-5-88 ] 
rotation 59-576-88 ,rotation: [ 59-576-88 ] 
rotation 6-46-09 ,rotation: [ 6-46-09 ] 
rotation 5-779-42 ,rotation: [ 5-779-42 ] 
rotation 74-25-547 to 9-27-63 ,rotation: [ 74-25-547 ] -- [9-27-63 ] 
rotation 31-824-5 ,rotation: [ 31-824-5 ] 
rotation 5-413-240 ,rotation: [ 5-413-240 ] 
rotation 8-29-54 ,rotation: [ 8-29-54 ] 
rotation 490-551-96 ,rotation: [ 490-551-96 ] 
rotation 8-19-66 to 817-684-628 ,rotation: [ 8-19-66 ] -- [817-684-628 ] 
rotation 64-828-5 to 4-65-10 ,rotation: [ 64-828-5 ] -- [4-65-10 ] 
rotation 005-104-3 to 414-5-81 ,rotation: [ 005-104-3 ] -- [414-5-81 ] 
rotation 5-387-397 to 7-80-850 ,rotation: [ 5-387-397 ] -- [7-80-850 ] 
rotation 133-582-896 to 13-353-611 ,rotation: [ 133-582-896 ] -- [13-353-611 ] 
rotation 90-409-4 to 51-4-835 ,rotation: [ 90-409-4 ] -- [51-4-835 ] 
rotation 2-186-36 to 94-19-14 ,rotation: [ 2-186-36 ] -- [94-19-14 ] 
rotation 6-037-50 ,rotation: [ 6-037-50 ] 
rotation 0-3-812 to 80-0-156 ,rotation: [ 0-3-812 ] -- [80-0-156 ] 
rotation 797-4-41 ,rotation: [ 797-4-41 ] 
rotation 71-8-9 to 005-62-62 ,rotation: [ 71-8-9 ] -- [005-62-62 ] 
rotation 680-512-9 ,rotation: [ 680-512-9 ] 
rotation 233-363-98 ,rotation: [ 233-363-98 ] 
rotation 478-18-519 ,rotation: [ 478-18-519 ] 
rotation 10-708-50 ,rotation: [ 10-708-50 ] 
rotation 74-388-06 to 618-4-49 ,rotation: [ 74-388-06 ] -- [618-4-49 ] 
rotation 8-40-7 ,rotation: [ 8-40-7 ] 
rotation 669-971-8 to 937-416-58 ,rotation: [ 669-971-8 ] -- [937-416-58 ] 
rotation 37-85-0 to 80-315-1 ,rotation: [ 37-85-0 ] -- [80-315-1 ] 
rotation 48-26-6 ,rotation: [ 48-26-6 ] 
rotation 3-3-2 ,rotation: [ 3-3-2 ] 
rotation 80-3-12 to 9-52-19 ,rotation: [ 80-3-12 ] -- [9-52-19 ] 
rotation 2-33-6 to 15-513-2 ,rotation: [ 2-33-6 ] -- [15-513-2 ] 
rotation 725-2-89 ,rotation: [ 725-2-89 ] 
rotation 22-17-6 to 698-32-13 ,rotation: [ 22-17-6 ] -- [698-32-13 ] 
rotation 5-2-4 to 244-3-98 ,rotation: [ 5-2-4 ] -- [244-3-98 ] 
rotation 40-951-66 ,rotation: [ 40-951-66 ] 
rotation 258-7-2 ,rotation: [ 258-7-2 ] 
rotation 7-4-40 ,rotation: [ 7-4-40 ] 
rotation 886-092-619 ,rotation: [ 886-092-619 ] 
rotation 765-0-0 ,rotation: [ 765-0-0 ] 
rotation 18-11-217 to 19-9-7 ,rotation: [ 18-11-217 ] -- [19-9-7 ] 
rotation 8-96-806 to 744-499-4 ,rotation: [ 8-96-806 ] -- [744-499-4 ] 
rotation 529-7-0 ,rotation: [ 529-7-0 ] 
rotation 021-9-308 to 8-781-3 ,rotation: [ 021-9-308 ] -- [8-781-3 ] 
rotation 37-25-04 to 3-02-70 ,rotation: [ 37-25-04 ] -- [3-02-70 ] 
rotation 0-7-89 ,rotation: [ 0-7-89 ] 
rotation 9-145-8 to 95-02-374 ,rotation: [ 9-145-8 ] -- [95-02-374 ] 
rotation 581-22-35 to 54-039-82 ,rotation: [ 581-22-35 ] -- [54-039-82 ] 
rotation 168-8-85 to 533-69-9 ,rotation: [ 168-8-85 ] -- [533-69-9 ] 
rotation 7-2-6 ,rotation: [ 7-2-6 ] 
rotation 0-74-85 ,rotation: [ 0-74-85 ] 
rotation 281-143-198 ,rotation: [ 281-143-198 ] 
rotation 4-3-4 to 0-810-12 ,rotation: [ 4-3-4 ] -- [0-810-12 ] 
rotation 128-95-595 ,rotation: [ 128-95-595 ] 
rotation 2-37-95 to 9-803-146 ,rotation: [ 2-37-95 ] -- [9-803-146 ] 
rotation 5-74-64 to 606-279-88 ,rotation: [ 5-74-64 ] -- [606-279-88 ] 
rotation 83-5-777 to 913-6-8 ,rotation: [ 83-5-777 ] -- [913-6-8 ] 
rotation 6-639-2 ,rotation: [ 6-639-2 ] 
rotation 60-18-494 to 5-9-87 ,rotation: [ 60-18-494 ] -- [5-9-87 ] 
rotation 310-2-5 ,rotation: [ 310-2-5 ] 
rotation 9-601-834 to 6-28-2 ,rotation: [ 9-601-834 ] -- [6-28-2 ] 
rotation 4-3-8 to 245-15-5 ,rotation: [ 4-3-8 ] -- [245-15-5 ] 
rotation 706-32-4 ,rotation: [ 706-32-4 ] 
rotation 680-20-56 to 8-2-639 ,rotation: [ 680-20-56 ] -- [8-2-639 ] 
rotation 278-260-1 ,rotation: [ 278-260-1 ] 
rotation 037-64-16 to 87-1-046 ,rotation: [ 037-64-16 ] -- [87-1-046 ] 
rotation 315-38-360 ,rotation: [ 315-38-360 ] 
rotation 7-385-0 to 751-8-872 ,rotation: [ 7-385-0 ] -- [751-8-872 ] 
rotation 809-31-8 to 395-056-1 ,rotation: [ 809-31-8 ] -- [395-056-1 ] 
rotation 902-5-21 ,rotation: [ 902-5-21 ] 
rotation 915-0-3 ,rotation: [ 915-0-3 ] 
rotation 9-747-18 ,rotation: [ 9-747-18 ] 
rotation 505-2-1 to 38-6-09 ,rotation: [ 505-2-1 ] -- [38-6-09 ] 
rotation 56-97-481 to 781-4-07 ,rotation: [ 56-97-481 ] -- [781-4-07 ] 
rotation 2-3-2 to 3-839-2 ,rotation: [ 2-3-2 ] -- [3-839-2 ] 
rotation 803-6-125 ,rotation: [ 803-6-125 ] 
rotation 738-0-88 to 92-915-5 ,rotation: [ 738-0-88 ] -- [92-915-5 ] 
rotation 1-3-48 ,rotation: [ 1-3-48 ] 
rotation 433-88-7 to 743-186-347 ,rotation: [ 433-88-7 ] -- [743-186-347 ] 
rotation 18-07-151 ,rotation: [ 18-07-151 ] 
rotation 886-79-8 to 8-369-70 ,rotation: [ 886-79-8 ] -- [8-369-70 ] 
rotation 3-8-95 to 487-1-44 ,rotation: [ 3-8-95 ] -- [487-1-44 ] 
rotation 72-202-985 ,rotation: [ 72-202-985 ] 
rotation 2-46-991 to 4-4-93 ,rotation: [ 2-46-991 ] -- [4-4-93 ] 
rotation 438-648-2 to 0-299-4 ,rotation: [ 438-648-2 ] -- [0-299-4 ] 
rotation 74-9-4 to 6-761-937 ,rotation: [ 74-9-4 ] -- [6-761-937 ] 
rotation 5-67-02 ,rotation: [ 5-67-02 ] 
rotation 395-9-3 to 6-84-8 ,rotation: [ 395-9-3 ] -- [6-84-8 ] 
rotation 3-6-9 ,rotation: [ 3-6-9 ] 
rotation 040-287-4 to 27-9-9 ,rotation: [ 040-287-4 ] -- [27-9-9 ] 
rotation 04-643-347 to 759-86-9 ,rotation: [ 04-643-347 ] -- [759-86-9 ] 
rotation 417-074-31 to 319-481-053 ,rotation: [ 417-074-31 ] -- [319-481-053 ] 
rotation 68-72-8 ,rotation: [ 68-72-8 ] 
rotation 154-0-01 ,rotation: [ 154-0-01 ] 
rotation 9-41-150 ,rotation: [ 9-41-150 ] 
rotation 80-36-0 ,rotation: [ 80-36-0 ] 
rotation 0-870-876 to 425-9-462 ,rotation: [ 0-870-876 ] -- [425-9-462 ] 
rotation 96-4-791 to 01-238-981 ,rotation: [ 96-4-791 ] -- [01-238-981 ] 
rotation 93-11-84 ,rotation: [ 93-11-84 ] 
rotation 303-51-09 to 9-80-84 ,rotation: [ 303-51-09 ] -- [9-80-84 ] 
rotation 062-52-6 to 216-32-0 ,rotation: [ 062-52-6 ] -- [216-32-0 ] 
rotation 71-49-3 to 52-9-5 ,rotation: [ 71-49-3 ] -- [52-9-5 ] 
rotation 107-952-472 to 2-6-018 ,rotation: [ 107-952-472 ] -- [2-6-018 ] 
rotation 36-9-136 to 8-81-48 ,rotation: [ 36-9-136 ] -- [8-81-48 ] 
rotation 78-3-7 ,rotation: [ 78-3-7 ] 
rotation 3-86-610 to 0-07-087 ,rotation: [ 3-86-610 ] -- [0-07-087 ] 
rotation 1-5-55 to 7-646-923 ,rotation: [ 1-5-55 ] -- [7-646-923 ] 
rotation 93-9-227 to 805-466-0 ,rotation: [ 93-9-227 ] -- [805-466-0 ] 
rotation 0-079-52 ,rotation: [ 0-079-52 ] 
rotation 16-4-973 ,rotation: [ 16-4-973 ] 
rotation 74-7-0 ,rotation: [ 74-7-0 ] 
rotation 414-405-0 to 08-563-7 ,rotation: [ 414-405-0 ] -- [08-563-7 ] 
rotation 01-2-70 to 12-905-030 ,rotation: [ 01-2-70 ] -- [12-905-030 ] 
rotation 52-04-802 ,rotation: [ 52-04-802 ] 
rotation 477-179-7 ,rotation: [ 477-179-7 ] 
rotation 318-255-60 ,rotation: [ 318-255-60 ] 
rotation 616-2-484 to 2-6-246 ,rotation: [ 616-2-484 ] -- [2-6-246 ] 
rotation 0-1-947 to 93-874-467 ,rotation: [ 0-1-947 ] -- [93-874-467 ] 
rotation 279-43-17 to 078-5-4 ,rotation: [ 279-43-17 ] -- [078-5-4 ] 
rotation 035-252-0 ,rotation: [ 035-252-0 ] 
rotation 4-612-576 to 535-66-50 ,rotation: [ 4-612-576 ] -- [535-66-50 ] 
rotation 7-47-8 to 983-2-43 ,rotation: [ 7-47-8 ] -- [983-2-43 ] 
rotation 784-948-77 ,rotation: [ 784-948-77 ] 
rotation 08-048-58 ,rotation: [ 08-048-58 ] 
rotation 357-04-80 ,rotation: [ 357-04-80 ] 
rotation 563-14-728 to 75-2-115 ,rotation: [ 563-14-728 ] -- [75-2-115 ] 
rotation 763-94-0 ,rotation: [ 763-94-0 ] 
rotation 026-0-18 ,rotation: [ 026-0-18 ] 
rotation 08-300-06 to 578-13-168 ,rotation: [ 08-300-06 ] -- [578-13-168 ] 
rotation 5-995-24 to 095-819-71 ,rotation: [ 5-995-24 ] -- [095-819-71 ] 
rotation 9-154-38 ,rotation: [ 9-154-38 ] 
rotation 394-26-4 ,rotation: [ 394-26-4 ] 
rotation 97-922-23 ,rotation: [ 97-922-23 ] 
rotation 45-8-21 to 646-874-92 ,rotation: [ 45-8-21 ] -- [646-874-92 ] 
rotation 51-5-1 ,rotation: [ 51-5-1 ] 
rotation 27-8-735 to 1-24-43 ,rotation: [ 27-8-735 ] -- [1-24-43 ] 
rotation 8-24-084 ,rotation: [ 8-24-084 ] 
rotation 8-211-6 to 3-640-747 ,rotation: [ 8-211-6 ] -- [3-640-747 ] 
rotation 9-4-493 to 8-2-763 ,rotation: [ 9-4-493 ] -- [8-2-763 ] 
rotation 95-0-728 ,rotation: [ 95-0-728 ] 
rotation 293-959-54 ,rotation: [ 293-959-54 ] 
rotation 45-83-9 ,rotation: [ 45-83-9 ] 
rotation 15-74-050 ,rotation: [ 15-74-050 ] 
rotation 5-58-480 to 349-1-40 ,rotation: [ 5-58-480 ] -- [349-1-40 ] 
rotation 576-52-5 ,rotation: [ 576-52-5 ] 
rotation 91-22-97 ,rotation: [ 91-22-97 ] 
rotation 7-0-76 ,rotation: [ 7-0-76 ] 
rotation 196-87-64 to 566-8-1 ,rotation: [ 196-87-64 ] -- [566-8-1 ] 
rotation 269-42-4 to 0-5-8 ,rotation: [ 269-42-4 ] -- [0-5-8 ] 
rotation 697-1-1 to 638-3-4 ,rotation: [ 697-1-1 ] -- [638-3-4 ] 
rotation 89-4-6 to 321-5-59 ,rotation: [ 89-4-6 ] -- [321-5-59 ] 
rotation 381-3-03 ,rotation: [ 381-3-03 ] 
rotation 6-7-4 to 61-38-487 ,rotation: [ 6-7-4 ] -- [61-38-487 ] 
rotation 252-4-4 to 4-6-4 ,rotation: [ 252-4-4 ] -- [4-6-4 ] 
rotation 8-32-869 to 35-530-03 ,rotation: [ 8-32-869 ] -- [35-530-03 ] 
rotation 55-5-462 to 85-189-5 ,rotation: [ 55-5-462 ] -- [85-189-5 ] 
rotation 84-80-118 to 51-895-0 ,rotation: [ 84-80-118 ] -- [51-895-0 ] 
rotation 028-6-9 to 894-683-236 ,rotation: [ 028-6-9 ] -- [894-683-236 ] 
rotation 2-1-75 ,rotation: [ 2-1-75 ] 
rotation 83-4-141 to 9-53-82 ,rotation: [ 83-4-141 ] -- [9-53-82 ] 
rotation 31-8-97 ,rotation: [ 31-8-97 ] 
rotation 1-5-8 to 418-64-3 ,rotation: [ 1-5-8 ] -- [418-64-3 ] 
rotation 031-3-53 to 794-358-7 ,rotation: [ 031-3-53 ] -- [794-358-7 ] 
rotation 7-6-2 to 444-8-0 ,rotation: [ 7-6-2 ] -- [444-8-0 ] 
rotation 791-8-9 ,rotation: [ 791-8-9 ] 
rotation 553-31-8 to 3-903-52 ,rotation: [ 553-31-8 ] -- [3-903-52 ] 
rotation 793-851-1 to 3-005-24 ,rotation: [ 793-851-1 ] -- [3-005-24 ] 
rotation 25-585-89 ,rotation: [ 25-585-89 ] 
rotation 7-623-38 ,rotation: [ 7-623-38 ] 
rotation 293-05-950 to 7-57-49 ,rotation: [ 293-05-950 ] -- [7-57-49 ] 
rotation 0-268-3 ,rotation: [ 0-268-3 ] 
rotation 5-70-077 to 04-0-7 ,rotation: [ 5-70-077 ] -- [04-0-7 ] 
rotation 05-284-3 to 01-82-0 ,rotation: [ 05-284-3 ] -- [01-82-0 ] 
rotation 2-267-78 to 1-63-37 ,rotation: [ 2-267-78 ] -- [1-63-37 ] 
rotation 618-95-46 to 4-7-9 ,rotation: [ 618-95-46 ] -- [4-7-9 ] 
rotation 670-2-84 ,rotation: [ 670-2-84 ] 
rotation 6-580-645 ,rotation: [ 6-580-645 ] 
rotation 834-7-09 to 8-31-82 ,rotation: [ 834-7-09 ] -- [8-31-82 ] 
rotation 44-70-490 to 16-4-788 ,rotation: [ 44-70-490 ] -- [16-4-788 ] 
rotation 32-0-50 ,rotation: [ 32-0-50 ] 
rotation 98-5-6 to 63-8-19 ,rotation: [ 98-5-6 ] -- [63-8-19 ] 
rotation 93-01-594 ,rotation: [ 93-01-594 ] 
rotation 0-253-62 ,rotation: [ 0-253-62 ] 
rotation 47-035-056 ,rotation: [ 47-035-056 ] 
rotation 734-4-76 to 9-9-821 ,rotation: [ 734-4-76 ] -- [9-9-821 ] 
rotation 1-5-164 ,rotation: [ 1-5-164 ] 
rotation 243-0-942 ,rotation: [ 243-0-942 ] 
rotation 838-6-33 ,rotation: [ 838-6-33 ] 
rotation 46-741-2 ,rotation: [ 46-741-2 ] 
rotation 390-284-64 ,rotation: [ 390-284-64 ] 
rotation 87-5-506 to 8-8-5 ,rotation: [ 87-5-506 ] -- [8-8-5 ] 
rotation 36-600-3 to 179-793-5 ,rotation: [ 36-600-3 ] -- [179-793-5 ] 
rotation 3-1-038 ,rotation: [ 3-1-038 ] 
rotation 086-1-3 ,rotation: [ 086-1-3 ] 
rotation 06-453-796 to 0-4-0 ,rotation: [ 06-453-796 ] -- [0-4-0 ] 
rotation 5-335-247 ,rotation: [ 5-335-247 ] 
rotation 5-523-7 ,rotation: [ 5-523-7 ] 
rotation 51-9-8 ,rotation: [ 51-9-8 ] 
rotation 12-9-948 to 9-6-40 ,rotation: [ 12-9-948 ] -- [9-6-40 ] 
rotation 20-61-4 ,rotation: [ 20-61-4 ] 
rotation 88-4-3 ,rotation: [ 88-4-3 ] 
rotation 3-163-205 ,rotation: [ 3-163-205 ] 
rotation 2-32-259 ,rotation: [ 2-32-259 ] 
rotation 0-79-546 to 603-7-186 ,rotation: [ 0-79-546 ] -- [603-7-186 ] 
rotation 2-07-8 ,rotation: [ 2-07-8 ] 
rotation 989-78-8 ,rotation: [ 989-78-8 ] 
rotation 8-5-3 to 8-7-064 ,rotation: [ 8-5-3 ] -- [8-7-064 ] 
rotation 094-8-214 ,rotation: [ 094-8-214 ] 
rotation 114-377-6 to 6-659-019 ,rotation: [ 114-377-6 ] -- [6-659-019 ] 
rotation 160-83-6 to 9-2-6 ,rotation: [ 160-83-6 ] -- [9-2-6 ] 
rotation 5-45-105 ,rotation: [ 5-45-105 ] 
rotation 107-866-058 to 770-1-911 ,rotation: [ 107-866-058 ] -- [770-1-911 ] 
rotation 432-65-63 ,rotation: [ 432-65-63 ] 
rotation 2-50-142 to 11-600-988 ,rotation: [ 2-50-142 ] -- [11-600-988 ] 
rotation 2-94-53 ,rotation: [ 2-94-53 ] 
rotation 42-3-01 ,rotation: [ 42-3-01 ] 
rotation 699-45-2 to 156-89-7 ,rotation: [ 699-45-2 ] -- [156-89-7 ] 
rotation 4-3-3 to 80-890-5 ,rotation: [ 4-3-3 ] -- [80-890-5 ] 
rotation 9-48-740 to 85-91-8 ,rotation: [ 9-48-740 ] -- [85-91-8 ] 
rotation 591-165-97 to 4-67-25 ,rotation: [ 591-165-97 ] -- [4-67-25 ] 
rotation 0-43-5 to 506-669-792 ,rotation: [ 0-43-5 ] -- [506-669-792 ] 
rotation 783-31-42 ,rotation: [ 783-31-42 ] 
